MD(ft);TVD(ft);DTEMP(F)
262;259.838659525108;91.1501
262.5;260.386057951435;91.1964
263;260.933397248891;91.2288
263.5;261.480677450931;91.2619
264;262.027898591002;91.2899
264.5;262.575060702539;91.3348
265;263.122163818972;91.3654
265.5;263.669207973719;91.4078
266;264.216193200187;91.4271
266.5;264.763119531778;91.4757
267;265.309987001882;91.5075
267.5;265.856795643879;91.5472
268;266.403545491142;91.5873
268.5;266.950236577033;91.6266
269;267.496868934906;91.6565
269.5;268.043442598104;91.6839
270;268.589957599963;91.735
270.5;269.136413973808;91.7743
271;269.682811752956;91.8136
271.5;270.229150970712;91.8448
272;270.775431660375;91.8579
272.5;271.321653855233;91.9214
273;271.867817588565;91.9595
273.5;272.413922893642;91.9931
274;272.959969803723;92.0443
274.5;273.50595835206;92.0848
275;274.051888571895;92.1284
275.5;274.59776049646;92.1746
276;275.14357415898;92.2251
276.5;275.689329592667;92.26
277;276.235026830728;92.2986
277.5;276.780665906358;92.341
278;277.326246852744;92.3862
278.5;277.871769703061;92.4283
279;278.417234490479;92.4676
279.5;278.962641248156;92.5044
280;279.507990009242;92.5499
280.5;280.053280806875;92.5817
281;280.598513674188;92.6291
281.5;281.143688644301;92.6565
282;281.688805750328;92.7033
282.5;282.233865025371;92.7401
283;282.778866502523;92.7663
283.5;283.32381021487;92.8166
284;283.868696195487;92.8517
284.5;284.413524477439;92.8885
285;284.958295093784;92.9284
285.5;285.503008077569;92.9783
286;286.047663461833;93.0151
286.5;286.592261279604;93.0606
287;287.136801563902;93.0974
287.5;287.681284347737;93.1498
288;288.225709664112;93.1759
288.5;288.770077546018;93.2296
289;289.314388026438;93.2738
289.5;289.858641138345;93.2932
290;290.402836914704;93.3541
290.5;290.94697538847;93.3886
291;291.491056592588;93.4366
291.5;292.035080559995;93.4566
292;292.57904732362;93.5339
292.5;293.122956916379;93.5432
293;293.666809371181;93.5794
293.5;294.210604720927;93.6499
294;294.754342998507;93.6599
294.5;295.298024236801;93.721
295;295.841648468682;93.7522
295.5;296.385215727013;93.7983
296;296.928726044647;93.8407
296.5;297.472179454428;93.8813
297;298.015575989191;93.9262
297.5;298.558915681763;93.9692
298;299.102198564959;94.0216
298.5;299.645424671588;94.0571
299;300.188594034446;94.0964
299.5;300.731706686324;94.1251
300;301.27476266;94.1669
300.5;301.817761988246;94.2024
301;302.360704703822;94.2399
301.5;302.90359083948;94.2991
302;303.446420427964;94.3316
302.5;303.989193502007;94.3715
303;304.531910094333;94.4133
303.5;305.074570237657;94.4588
304;305.617173964686;94.5068
304.5;306.159721308116;94.5413
305;306.702212300634;94.5704
305.5;307.244646974919;94.6185
306;307.78702536364;94.659
306.5;308.329347499457;94.7058
307;308.871613415021;94.7332
307.5;309.413823142972;94.7781
308;309.955976715944;94.8124
308.5;310.498074166559;94.8536
309;311.040115527431;94.9004
309.5;311.582100831165;94.931
310;312.124030110356;94.9746
310.5;312.665903397591;95.0357
311;313.207720725446;95.0682
311.5;313.749482126489;95.1
312;314.291187633279;95.1293
312.5;314.832837278366;95.1717
313;315.374431094289;95.2123
313.5;315.91596911358;95.2528
314;316.457451368761;95.2915
314.5;316.998877892344;95.3308
315;317.540248716832;95.3695
315.5;318.08156387472;95.4188
316;318.622823398494;95.4612
316.5;319.164027320628;95.4881
317;319.70517567359;95.5217
317.5;320.246268489837;95.5641
318;320.787305801817;95.6015
318.5;321.32828764197;95.6415
319;321.869214042726;95.6864
319.5;322.410085036505;95.7126
320;322.950900655718;95.7538
320.5;323.49166093277;95.7768
321;324.032365900051;95.8242
321.5;324.573015589947;95.8542
322;325.113610034833;95.8841
322.5;325.654149267074;95.9139
323;326.194633319026;95.9534
323.5;326.735062223038;95.9883
324;327.275436011446;96.0183
324.5;327.815754716581;96.0582
325;328.356018370762;96.0882
325.5;328.896227006299;96.1256
326;329.436380655494;96.1761
326.5;329.97647935064;96.1967
327;330.516523124019;96.2416
327.5;331.056512007905;96.2791
328;331.596446034564;96.3171
328.5;332.136325236251;96.3477
329;332.676149645212;96.3645
329.5;333.215919293684;96.4188
330;333.755634213897;96.4519
330.5;334.295294438068;96.4775
331;334.834899998407;96.5155
331.5;335.374450927116;96.548
332;335.913947256385;96.5891
332.5;336.453389018397;96.621
333;336.992776245326;96.6466
333.5;337.532108969334;96.6865
334;338.071387222578;96.7127
334.5;338.610611037202;96.7655
335;339.149780445344;96.772
335.5;339.68889547913;96.8156
336;340.227956170679;96.8481
336.5;340.766962552101;96.873
337;341.305914655494;96.9161
337.5;341.84481251295;96.9567
338;342.38365615655;96.9966
338.5;342.922445618368;97.0216
339;343.461180930465;97.054
339.5;343.999862124897;97.0895
340;344.538489233709;97.1139
340.5;345.077062288936;97.1582
341;345.615581322605;97.1932
341.5;346.154046366735;97.2088
342;346.692457453332;97.2593
342.5;347.230814614398;97.2955
343;347.769117881921;97.3279
343.5;348.307367287884;97.3579
344;348.845562864257;97.3978
344.5;349.383704643005;97.4334
345;349.92179265608;97.4702
345.5;350.459826935427;97.4979
346;350.997807512981;97.5201
346.5;351.535734420669;97.5476
347;352.073607690409;97.5838
347.5;352.611427354107;97.6237
348;353.149193443663;97.6556
348.5;353.686905990967;97.6786
349;354.224565027899;97.7092
349.5;354.762170586331;97.746
350;355.299722698125;97.7971
350.5;355.837221395135;97.8228
351;356.374666709204;97.8696
351.5;356.912058672168;97.8952
352;357.449397315852;97.9376
352.5;357.986682672074;97.9763
353;358.523914772641;98.0083
353.5;359.061093649352;98.0344
354;359.598219333995;98.0756
354.5;360.135291858352;98.1061
355;360.672311254194;98.1536
355.5;361.209277553282;98.1973
356;361.74619078737;98.2241
356.5;362.283050988201;98.2653
357;362.819858187511;98.2984
357.5;363.356612417024;98.3171
358;363.893313708458;98.36
358.5;364.42996209352;98.3914
359;364.966557603908;98.4438
359.5;365.503100271312;98.4694
360;366.039590127411;98.4912
360.5;366.576027203877;98.5293
361;367.112411532371;98.5649
361.5;367.648743144547;98.5998
362;368.185022072048;98.6354
362.5;368.721248346508;98.6774
363;369.257421999554;98.7122
363.5;369.793543062801;98.7584
364;370.329611567857;98.7771
364.5;370.86562754632;98.8227
365;371.401591029779;98.8326
365.5;371.937502049815;98.8776
366;372.473360637998;98.9188
366.5;373.00916682589;98.9444
367;373.544920645043;98.9687
367.5;374.080622127003;99.0066
368;374.616271303302;99.0424
368.5;375.151868205467;99.0723
369;375.687412865014;99.1042
369.5;376.22290531345;99.1385
370;376.758345582273;99.1678
370.5;377.293733702974;99.2022
371;377.829069707031;99.2334
371.5;378.364353625916;99.2708
372;378.89958549109;99.3023
372.5;379.434765334007;99.3333
373;379.96989318611;99.3632
373.5;380.504969078834;99.3944
374;381.039993043604;99.44
374.5;381.574965111838;99.4556
375;382.109885314941;99.4937
375.5;382.644753684314;99.5397
376;383.179570251345;99.5586
376.5;383.714335047413;99.5936
377;384.249048103892;99.6317
377.5;384.783709452142;99.6504
378;385.318319123516;99.7041
378.5;385.852877149359;99.7209
379;386.387383561005;99.7565
379.5;386.92183838978;99.7933
380;387.456241667002;99.837
380.5;387.990593423976;99.8638
381;388.524893692003;99.9026
381.5;389.059142502372;99.9332
382;389.593339886363;99.9794
382.5;390.127485875247;100.0193
383;390.661580500288;100.0605
383.5;391.195623792738;100.0818
384;391.729615783841;100.1161
384.5;392.263556504834;100.1573
385;392.797445986941;100.1891
385.5;393.33128426138;100.2403
386;393.86507135936;100.2591
386.5;394.398807312078;100.2928
387;394.932492150725;100.3515
387.5;395.466125906483;100.3721
388;395.999708610521;100.4052
388.5;396.533240294005;100.4295
389;397.066720988086;100.4701
389.5;397.600150723911;100.5076
390;398.133529532614;100.5477
390.5;398.666857445322;100.5825
391;399.200134493153;100.6143
391.5;399.733360707215;100.6543
392;400.266536118607;100.6818
392.5;400.799660758421;100.7361
393;401.332734657738;100.7736
393.5;401.865757847629;100.7983
394;402.398730359158;100.8347
394.5;402.93165222338;100.8728
395;403.464523471339;100.9034
395.5;403.997344134073;100.9321
396;404.530114242607;100.9677
396.5;405.06283382796;101.0189
397;405.595502921142;101.047
397.5;406.128121553152;101.077
398;406.660689754982;101.1151
398.5;407.193207557613;101.1305
399;407.725674992019;101.1638
399.5;408.258092089163;101.2025
400;408.79045888;101.2344
400.5;409.322775395477;101.2781
401;409.855041666529;101.3043
401.5;410.387257724086;101.3374
402;410.919423599065;101.3792
402.5;411.451539322378;101.4042
403;411.983604924923;101.4401
403.5;412.515620437594;101.4667
404;413.047585891273;101.4966
404.5;413.579501316834;101.5316
405;414.111366745141;101.5672
405.5;414.64318220705;101.594
406;415.174947733409;101.6278
406.5;415.706663355053;101.655
407;416.238329102814;101.6933
407.5;416.769945007509;101.7177
408;417.301511099949;101.7495
408.5;417.833027410937;101.807
409;418.364493971265;101.8432
409.5;418.895910811717;101.8819
410;419.427277963066;101.9001
410.5;419.95859545608;101.93
411;420.489863321513;101.9875
411.5;421.021081590115;102.0187
412;421.552250292623;102.0499
412.5;422.083369459767;102.0899
413;422.614439122269;102.1261
413.5;423.145459310838;102.1636
414;423.676430056179;102.2002
414.5;424.207351388984;102.2367
415;424.738223339939;102.2535
415.5;425.269045939718;102.3079
416;425.799819218989;102.346
416.5;426.330543208409;102.3672
417;426.861217938627;102.4172
417.5;427.391843440283;102.4415
418;427.922419744006;102.4806
418.5;428.452946880419;102.5283
419;428.983424880134;102.5465
419.5;429.513853773756;102.5948
420;430.044233591878;102.6358
420.5;430.574564365087;102.6626
421;431.10484612396;102.7041
421.5;431.635078899063;102.7482
422;432.165262720956;102.785
422.5;432.695397620188;102.8113
423;433.225483627301;102.8456
423.5;433.755520772826;102.9
424;434.285509087287;102.9312
424.5;434.815448601196;102.9718
425;435.345339345059;102.9948
425.5;435.875181349371;103.0536
426;436.40497464462;103.0761
426.5;436.934719261284;103.1113
427;437.464415229832;103.1686
427.5;437.994062580723;103.1923
428;438.523661344409;103.2192
428.5;439.053211551332;103.2681
429;439.582713231924;103.3185
429.5;440.112166416611;103.3641
430;440.641571135807;103.3841
430.5;441.170927419918;103.4179
431;441.700235299342;103.464
431.5;442.229494804467;103.5021
432;442.758705965672;103.5332
432.5;443.287868813327;103.5877
433;443.816983377795;103.6065
433.5;444.346049689427;103.6539
434;444.875067778567;103.6835
434.5;445.40403767555;103.7395
435;445.932959410701;103.7633
435.5;446.461833014336;103.8126
436;446.990658516764;103.8267
436.5;447.519435948282;103.8757
437;448.048165339181;103.8969
437.5;448.576846719742;103.9399
438;449.105480120236;103.9694
438.5;449.634065570926;104.0156
439;450.162603102067;104.0541
439.5;450.691092743902;104.0987
440;451.219534526669;104.1319
440.5;451.747928480594;104.1693
441;452.276274635895;104.2088
441.5;452.804573022783;104.2443
442;453.332823671456;104.2887
442.5;453.861026612106;104.3287
443;454.389181874916;104.3526
443.5;454.917289490059;104.4105
444;455.445349487699;104.4261
444.5;455.973361897993;104.4647
445;456.501326751086;104.5067
445.5;457.029244077117;104.5255
446;457.557113906214;104.5692
446.5;458.084936268497;104.6216
447;458.612711194077;104.6517
447.5;459.140438713056;104.6842
448;459.668118855526;104.7104
448.5;460.195751651573;104.7544
449;460.723337131271;104.7935
449.5;461.250875324685;104.816
450;461.778366261875;104.8594
450.5;462.305809972888;104.891
451;462.833206487763;104.919
451.5;463.360555836531;104.9559
452;463.887858049213;104.9922
452.5;464.415113155823;105.0203
453;464.942321186364;105.0557
453.5;465.469482170831;105.1022
454;465.996596139209;105.1165
454.5;466.523663121476;105.1689
455;467.050683147601;105.2146
455.5;467.577656247541;105.2428
456;468.104582451247;105.2848
456.5;468.631461788661;105.2996
457;469.158294289715;105.3534
457.5;469.685079984332;105.3958
458;470.211818902428;105.4302
458.5;470.738511073907;105.4708
459;471.265156528667;105.486
459.5;471.791755296596;105.5415
460;472.318307407571;105.5902
460.5;472.844812891464;105.615
461;473.371271778136;105.6539
461.5;473.897684097439;105.6752
462;474.424049879215;105.7156
462.5;474.9503691533;105.7527
463;475.476641949519;105.7889
463.5;476.002868297689;105.8026
464;476.529048227618;105.8383
464.5;477.055181769103;105.8683
465;477.581268951936;105.9114
465.5;478.107309805897;105.9431
466;478.633304360759;105.9752
466.5;479.159252646284;106.0076
467;479.685154692226;106.0433
467.5;480.211010528333;106.0765
468;480.736820184339;106.1083
468.5;481.262583689973;106.1314
469;481.788301074953;106.1805
469.5;482.31397236899;106.2176
470;482.839597601783;106.222
470.5;483.365176803027;106.2723
471;483.890710002402;106.2939
471.5;484.416197229585;106.3308
472;484.94163851424;106.3718
472.5;485.467033886025;106.4014
473;485.992383374585;106.4345
473.5;486.517687009562;106.477
474;487.042944820583;106.508
474.5;487.568156837272;106.5389
475;488.093323089238;106.5914
475.5;488.618443606087;106.6179
476;489.143518417412;106.6626
476.5;489.668547552799;106.7001
477;490.193531041824;106.7372
477.5;490.718468914056;106.7689
478;491.243361199053;106.812
478.5;491.768207926366;106.8367
479;492.293009125534;106.877
479.5;492.817764826092;106.9297
480;493.342475057562;106.9676
480.5;493.867139849458;106.9902
481;494.391759231287;107.0336
481.5;494.916333232546;107.0739
482;495.440861882721;107.1014
482.5;495.965345211293;107.1458
483;496.489783247732;107.1683
483.5;497.014176021499;107.2119
484;497.538523562046;107.2452
484.5;498.062825898817;107.2835
485;498.587083061248;107.3258
485.5;499.111295078763;107.3646
486;499.635461980781;107.3869
486.5;500.159583796709;107.4196
487;500.683660555946;107.4483
487.5;501.207692287884;107.4985
488;501.731679021904;107.539
488.5;502.255620787378;107.574
489;502.779517613671;107.619
489.5;503.303369530137;107.6626
490;503.827176566124;107.6965
490.5;504.350938750968;107.7203
491;504.874656113998;107.7594
491.5;505.398328684534;107.8128
492;505.921956491886;107.8606
492.5;506.445539565358;107.8822
493;506.969077934241;107.9295
493.5;507.49257162782;107.9622
494;508.016020675371;108.0003
494.5;508.53942510616;108.0285
495;509.062784949446;108.0672
495.5;509.586100234477;108.1089
496;510.109370990493;108.1541
496.5;510.632597246726;108.1797
497;511.155779032398;108.2463
497.5;511.678916376723;108.2541
498;512.202009308906;108.3021
498.5;512.725057858142;108.3492
499;513.248062053619;108.3742
499.5;513.771021924515;108.4098
500;514.2939375;108.458
500.5;514.816808809234;108.4963
501;515.339635881369;108.5261
501.5;515.862418745548;108.5774
502;516.385157430906;108.6122
502.5;516.907851966567;108.6405
503;517.430502381648;108.7052
503.5;517.953108705258;108.7337
504;518.475670966494;108.7668
504.5;518.998189194447;108.8092
505;519.520663418198;108.8531
505.5;520.043093666819;108.8978
506;520.565479969375;108.9306
506.5;521.08782235492;108.9657
507;521.6101208525;109.0051
507.5;522.132375491151;109.0419
508;522.654586299904;109.0658
508.5;523.176753307776;109.1114
509;523.698876543779;109.1413
509.5;524.220956036915;109.1826
510;524.742991816176;109.2075
510.5;525.264983910548;109.2539
511;525.786932349005;109.2814
511.5;526.308837160514;109.3065
512;526.830698374034;109.3521
512.5;527.352516018513;109.3831
513;527.874290122891;109.4202
513.5;528.3960207161;109.4641
514;528.917707827063;109.4915
514.5;529.439351484693;109.5278
515;529.960951717896;109.5708
515.5;530.482508555568;109.6135
516;531.004022026596;109.6501
516.5;531.525492159858;109.6835
517;532.046918984226;109.7154
517.5;532.56830252856;109.7596
518;533.089642821711;109.8105
518.5;533.610939892525;109.8449
519;534.132193769835;109.8867
519.5;534.653404482467;109.9188
520;535.174572059238;109.9662
520.5;535.695696528958;110.0102
521;536.216777920424;110.0262
521.5;536.737816262429;110.0769
522;537.258811583754;110.1281
522.5;537.779763913172;110.1394
523;538.300673279447;110.1798
523.5;538.821539711336;110.2295
524;539.342363237585;110.2559
524.5;539.863143886931;110.307
525;540.383881688106;110.3511
525.5;540.904576669828;110.4077
526;541.425228860809;110.4387
526.5;541.945838289753;110.4834
527;542.466404985354;110.5228
527.5;542.986928976297;110.5809
528;543.507410291259;110.6191
528.5;544.027848958907;110.6652
529;544.5482450079;110.7148
529.5;545.06859846689;110.7594
530;545.588909364517;110.8111
530.5;546.109177729414;110.8469
531;546.629403590205;110.8956
531.5;547.149586975505;110.945
532;547.669727913922;110.9892
532.5;548.189826434051;111.0275
533;548.709882564483;111.0801
533.5;549.229896333798;111.117
534;549.749867770567;111.1614
534.5;550.269796903352;111.2043
535;550.789683760708;111.2671
535.5;551.309528371179;111.288
536;551.829330763302;111.3278
536.5;552.349090965605;111.374
537;552.868809006606;111.4141
537.5;553.388484914815;111.4687
538;553.908118718734;111.496
538.5;554.427710446856;111.543
539;554.947260127664;111.5951
539.5;555.466767789632;111.643
540;555.986233461229;111.6969
540.5;556.50565717091;111.7388
541;557.025038947126;111.7878
541.5;557.544378818315;111.8332
542;558.06367681291;111.8714
542.5;558.582932959333;111.9186
543;559.102147285997;111.9752
543.5;559.621319821309;112.0018
544;560.140450593663;112.0647
544.5;560.659539631448;112.1096
545;561.178586963043;112.1629
545.5;561.697592616818;112.2036
