,DEPT,RHOB,VP,VS,T(C)
0,1828.2913674813863,2.599024,5.823759064514755,,158.776
1,1828.4421564967297,2.596904,5.792977459273828,3.132713265776495,158.79044444444443
2,1828.592933726521,2.595091,5.758520740309986,3.0775316863086495,158.7976111111111
3,1828.7436991278678,2.591078,5.72893563593441,3.030893636316629,158.80483333333333
4,1828.8944526578812,2.586762,5.710216622912693,2.98770805152032,158.8196111111111
5,1829.045194273674,2.582784,5.704730771519917,2.9569438704532622,158.82777777777775
6,1829.1959239323633,2.581083,5.713503776198609,2.94756183062157,158.82894444444446
7,1829.34664159107,2.579707,5.731334661995103,2.950300789360333,158.85166666666666
8,1829.497347206918,2.581492,5.7510074168750185,2.9502351089593066,158.85450000000003
9,1829.648040737034,2.583902,5.768919567293178,2.9420565438557547,158.85922222222223
10,1829.7987221385501,2.586346,5.783689994216311,2.939055105354712,158.87377777777778
11,1829.9493913686001,2.588229,5.793340813230714,2.9508434784713313,158.88294444444443
12,1830.1000483843206,2.590165,5.796969143691802,2.970357817020891,158.8981111111111
13,1830.2506931428536,2.591262,5.797027577913249,2.9827902397779744,158.90527777777777
14,1830.4013256013443,2.591627,5.797402466977345,2.9918372314904613,158.9092777777778
15,1830.551945617077,2.591075,5.799299707923065,3.007397131329915,158.91933333333333
16,1830.7025530464193,2.591329,5.805521874132173,3.0275007921364443,158.93594444444443
17,1830.853147845145,2.591484,5.822861225628232,3.049707531246745,158.94783333333334
18,1831.0037299690327,2.591636,5.842943294503704,3.072062853922202,158.95033333333333
19,1831.1542993738633,2.59253,5.849369523172753,3.0912948204787334,158.97055555555553
20,1831.304856015422,2.599744,5.855136095415667,3.1088669516121383,158.98383333333334
21,1831.4553998494985,2.595744,5.867321157871942,3.121111090972709,158.9925
22,1831.605930831885,2.597373,5.877083346991254,3.130718272846001,159.00255555555557
23,1831.756448918378,2.5994,5.877538930982112,3.14431638507601,159.01155555555556
24,1831.906954064778,2.600707,5.866676316143023,3.1579870029356436,159.02305555555554
25,1832.0574462268896,2.601122,5.846649743096522,3.1538122947771505,159.0371111111111
26,1832.2079253605198,2.599373,5.818154053189916,3.126018225055467,159.04255555555554
27,1832.3583914214814,2.597308,5.7839040099647105,3.0922937058126903,159.05849999999998
28,1832.5088443655893,2.594329,5.752720226983316,3.0657870835010566,159.0522777777778
29,1832.6592841486633,2.589527,5.729443928142848,3.0349829580927405,159.0706111111111
30,1832.809710726527,2.585593,5.712298083006739,2.9970295189708627,159.08177777777777
31,1832.9601240550069,2.58365,5.700811748460285,2.9688649059323726,159.08394444444443
32,1833.1105240899344,2.581327,5.6952194350484335,2.9585971124558106,159.09188888888892
33,1833.2609107871444,2.58024,5.694663998943274,2.955888599463518,159.10883333333334
34,1833.4112841024767,2.579407,5.6968714867657075,2.957253712575896,159.1161666666667
35,1833.561643992893,2.579757,5.701254275940707,2.96593841590864,159.1278888888889
36,1833.7119904153642,2.57992,5.711375418375114,2.982221148135574,159.14555555555555
37,1833.8623233257463,2.580428,5.7307150533550635,3.0038257386868707,159.15205555555556
38,1834.0126426798975,2.580676,5.755243540456643,3.030152402350158,159.16250000000002
39,1834.1629484336836,2.583754,5.780196644262085,3.050946298840791,159.16933333333333
40,1834.313240542972,2.586673,5.804031669295112,3.0629761154187287,159.19205555555558
41,1834.463518963634,2.589478,5.823460866744199,3.072568565506648,159.19816666666668
42,1834.6137836515452,2.592147,5.8323297057314125,3.0868107806258873,159.20722222222219
43,1834.7640345625857,2.595003,5.830652820779161,3.099884313700563,159.22050000000002
44,1834.9142716526394,2.596173,5.826131269160002,3.1044118193757875,159.23850000000002
45,1835.0644948775946,2.594937,5.822539762043804,3.102083586497143,159.25577777777778
46,1835.2147041933426,2.594374,5.819538182986672,3.093911166583161,159.27161111111113
47,1835.3648995557799,2.594296,5.819522627308263,3.083992037472527,159.27377777777778
48,1835.515080920807,2.593648,5.823064800509404,3.0771545003132177,159.2875
49,1835.6652482443276,2.593287,5.824600413875315,3.0626889625332057,159.3087222222222
50,1835.8154014822508,2.594488,5.820767344425766,3.041995101669305,159.30716666666666
51,1835.9655405904878,2.59483,5.8132404944077125,3.0339739384823963,159.33505555555556
52,1836.1156655249567,2.594071,5.803996302808654,3.0298090266042683,159.339
53,1836.2657762415781,2.593237,5.7944972427660515,3.022646044974752,159.34044444444442
54,1836.415872696277,2.592066,5.787021654624928,3.022160527489961,159.3656666666667
55,1836.5659549623558,2.591008,5.785526654707128,3.023518570137596,159.37244444444445
56,1836.716023113769,2.58981,5.792488654951067,3.024622691219564,159.38294444444443
57,1836.8660771078905,2.589411,5.8060615434904115,3.0337202786484023,159.38944444444445
58,1837.0161169020964,2.590394,5.821820212718004,3.0615006053695586,159.4023888888889
59,1837.1661424537679,2.592196,5.835186981560005,3.1046777552283467,159.41466666666668
60,1837.3161537202884,2.594239,5.841339782571075,3.1418660767215245,159.4232777777778
61,1837.466150659047,2.595854,5.836059572229087,3.151895946070316,159.43444444444447
62,1837.616133227436,2.597113,5.816527487290658,3.111921354151352,159.44744444444444
63,1837.766101382852,2.596133,5.779828361094398,3.038226026871554,159.44633333333334
64,1837.9160550826973,2.594815,5.729991089187086,2.9519123026368677,159.45933333333335
65,1838.0659942843754,2.59022,5.675839192749674,2.8669870392997328,159.46905555555557
66,1838.215918945296,2.583962,5.625349508058757,2.799394199339277,159.47766666666666
67,1838.3658290228716,2.577598,5.587677777248179,2.749852718682308,159.4856111111111
68,1838.5157244745199,2.571261,5.571227170626326,2.7215403489786185,159.49316666666667
